,(,),i,+,-,*,/,..,<,<=,>,>=,'==‘,!=,is,$
(,<,=,<,<,<,<,<,<,<,<,<,<,<,<,<,
),,>,,>,>,>,>,>,>,>,>,>,>,>,>,>
i,,>,,>,>,>,>,>,>,>,>,>,>,>,>,>
+,<,>,<,>,>,<,<,>,>,>,>,>,>,>,>,>
-,<,>,<,>,>,<,<,>,>,>,>,>,>,>,>,>
*,<,>,<,>,>,>,>,>,>,>,>,>,>,>,>,>
/,<,>,<,>,>,>,>,>,>,>,>,>,>,>,>,>
..,<,>,<,<,<,<,<,>,>,>,>,>,>,>,>,>
<,<,>,<,<,<,<,<,<,>,>,>,>,>,>,>,>
<=,<,>,<,<,<,<,<,<,>,>,>,>,>,>,>,>
>,<,>,<,<,<,<,<,<,>,>,>,>,>,>,>,>
>=,<,>,<,<,<,<,<,<,>,>,>,>,>,>,>,>
'==‘,<,>,<,<,<,<,<,<,>,>,>,>,>,>,>,>
!=,<,>,<,<,<,<,<,<,>,>,>,>,>,>,>,>
is,<,>,<,<,<,<,<,<,<,<,<,<,<,<,>,>
$,<,,,<,<,<,<,<,<,<,<,<,<,<,<,
